All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-04-10 10:00:00,"Claude vs Cursor vs Windsurf — the honest 2026 comparison.

I ran the same feature through all three.
Same task. Same repo. Same prompt.

The results weren't what I expected.

Swipe to see who wins at what →

TL;DR: stop picking one. Stack all three.
Here's how I actually use them daily.

#AI #ArtificialIntelligence #AITools #LLM #ClaudeAI #ChatGPT #AIAgency #AI2026 #TechTools #FutureOfWork",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/01_claude-vs-cursor-vs-windsurf/slide_01.png,,,TRUE,FALSE,"ai,tools,claude,cursor,skynetjoe",AI Tools,"Which one are you using most right now? Drop 1 for Claude, 2 for Cursor, 3 for Windsurf 👇",post,post,Claude vs Cursor vs Windsurf — The 2026 Honest Comparison,TRUE,,,,,,,,,,,Claude vs Cursor vs Windsurf,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Claude vs Cursor vs Windsurf,FALSE,Claude vs Cursor vs Windsurf,https://www.skynetjoe.com
2026-04-13 10:00:00,"You don't need a $2K/month AI stack.

You need to know where to look.

Here are 15 free AI tools most agencies have no idea exist.
Zero signup tricks. Zero BS.

I use at least 8 of these every single day.

Save this post — you'll come back to it.

#AI #ArtificialIntelligence #AITools #LLM #ClaudeAI #ChatGPT #AIAgency #AI2026 #TechTools #FutureOfWork",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/02_15-free-ai-tools-most-agencies-dont-know-exist/slide_01.png,,,TRUE,FALSE,"ai,tools,claude,cursor,skynetjoe",AI Tools,Want the full 15 in one shareable Notion doc? Reply 'STACK' and I'll DM it to you.,post,post,15 Free AI Tools Most Agencies Don't Know Exist — Zero signup. Zero BS.,TRUE,,,,,,,,,,,15 Free AI Tools Most Agencies Don't Know Exist,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,15 Free AI Tools Most Agencies Don't Know Exist,FALSE,15 Free AI Tools Most Agencies Don't Know Exist,https://skynetlabs-toolkit.vercel.app
2026-04-14 10:00:00,"Picking ONE AI model in 2026 is the mistake.

Each top model has a superpower.
Smart founders route tasks between them.

Here's the routing table I use every day:
• Writing → Claude
• Research → Gemini
• Brainstorm → ChatGPT
• Code → Claude
• Vision → Gemini

Swipe for the full breakdown.

#AI #ArtificialIntelligence #AITools #LLM #ClaudeAI #ChatGPT #AIAgency #AI2026 #TechTools #FutureOfWork",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/03_chatgpt-vs-claude-vs-gemini/slide_01.png,,,TRUE,FALSE,"ai,tools,claude,cursor,skynetjoe",AI Tools,My most-used AI model for writing is ______. What's yours? 👇,post,post,ChatGPT vs Claude vs Gemini — Best Use Cases by Task,TRUE,,,,,,,,,,,ChatGPT vs Claude vs Gemini,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,ChatGPT vs Claude vs Gemini,FALSE,ChatGPT vs Claude vs Gemini,https://www.waseemnasir.com
2026-04-15 10:00:00,"The 2026 AI tool reality check.

Winners, losers, and the overhyped stuff nobody wants to admit is underdelivering.

I'm not here to please any founder.
I'm here to save you money on bad tool choices.

Some of these will surprise you.
A few will make AI bros angry.

Good.

#AI #ArtificialIntelligence #AITools #LLM #ClaudeAI #ChatGPT #AIAgency #AI2026 #TechTools #FutureOfWork",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/04_the-2026-ai-tool-reality-check/slide_01.png,,,TRUE,FALSE,"ai,tools,claude,cursor,skynetjoe",AI Tools,Controversial take: slide 5 is wrong. Prove me otherwise in the replies 👇,post,post,"The 2026 AI Tool Reality Check — Winners, Losers, Overhyped",TRUE,,,,,,,,,,,The 2026 AI Tool Reality Check,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,The 2026 AI Tool Reality Check,FALSE,The 2026 AI Tool Reality Check,https://github.com/waseemnasir2k26
2026-04-16 10:00:00,"The $0 AI Stack.

Run your entire business on free AI tiers.
Yes, really.

I built this after watching too many founders burn $500/mo on tools they never opened.

Free tier > paid plan you don't use.
Stack 3 free tools = 1 paid tool.

Save this. Audit your stack this weekend.

#AI #ArtificialIntelligence #AITools #LLM #ClaudeAI #ChatGPT #AIAgency #AI2026 #TechTools #FutureOfWork",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/05_the-$0-ai-stack/slide_01.png,,,TRUE,FALSE,"ai,tools,claude,cursor,skynetjoe",AI Tools,Pick ONE paid tool from your stack and try replacing it with a free alternative this week. Reply 'DONE' when you do 👇,post,post,The $0 AI Stack — Build Your Entire Business for Free,TRUE,,,,,,,,,,,The $0 AI Stack,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,The $0 AI Stack,FALSE,The $0 AI Stack,https://www.skynetjoe.com
2026-04-17 10:00:00,"10 n8n workflows that replace entire job roles.

Not 'cool side-projects'.
Actual workflows that replaced 5-figure annual salaries in my agency this year.

• Lead Enricher
• Content Recycler
• Invoice Autopilot
• Inbox Triage
• Client Reporter

+5 more inside. Swipe →

#n8n #Automation #NoCode #AIAgents #WorkflowAutomation #AIAutomation #BusinessAutomation #SmallBiz #TechStack #AI",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/06_10-n8n-workflows-that-replace-entire-job-roles/slide_01.png,,,TRUE,FALSE,"automation,n8n,aiagents,skynetjoe",Automation,Want my actual n8n templates for 3 of these? Reply 'N8N' and I'll send the JSON files.,post,post,10 n8n Workflows That Replace Entire Job Roles — Real templates. Real ROI.,TRUE,,,,,,,,,,,10 n8n Workflows That Replace Entire Job Roles,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,10 n8n Workflows That Replace Entire Job Roles,FALSE,10 n8n Workflows That Replace Entire Job Roles,https://skynetlabs-toolkit.vercel.app
2026-04-20 10:00:00,"The n8n beginner's visual cheat sheet.

If you've been putting off learning n8n because 'it looks complicated'...
Read this carousel once and you're past the learning curve.

Nodes, triggers, variables, HTTP calls — all visualized.

Save this. You'll never need another n8n tutorial.

#n8n #Automation #NoCode #AIAgents #WorkflowAutomation #AIAutomation #BusinessAutomation #SmallBiz #TechStack #AI",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/07_the-n8n-beginners-visual-cheat-sheet/slide_01.png,,,TRUE,FALSE,"automation,n8n,aiagents,skynetjoe",Automation,Where are you on your n8n journey? Drop a number: 1 = never heard of it | 2 = dabbled | 3 = active builder | 4 = making money with it 👇,post,post,The n8n Beginner's Visual Cheat Sheet — Go from zero to shipping in 10 minutes,TRUE,,,,,,,,,,,The n8n Beginner's Visual Cheat Sheet,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,The n8n Beginner's Visual Cheat Sheet,FALSE,The n8n Beginner's Visual Cheat Sheet,https://www.waseemnasir.com
2026-04-21 10:00:00,"Every business I audit has 7 hidden automation opportunities.

They just don't see them — because the bottlenecks feel like 'the job'.

Here's how to find the 7 in any business.
Your own. A client's. Anyone's.

This is the first thing I do on every discovery call.

#n8n #Automation #NoCode #AIAgents #WorkflowAutomation #AIAutomation #BusinessAutomation #SmallBiz #TechStack #AI",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/08_7-automation-opportunities-hiding-in-every-business/slide_01.png,,,TRUE,FALSE,"automation,n8n,aiagents,skynetjoe",Automation,The task I waste the most time on every week is ______. What's yours? 👇,post,post,7 Automation Opportunities Hiding in Every Business — How to find them in 20 minutes,TRUE,,,,,,,,,,,7 Automation Opportunities Hiding in Every Business,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,7 Automation Opportunities Hiding in Every Business,FALSE,7 Automation Opportunities Hiding in Every Business,https://github.com/waseemnasir2k26
2026-04-22 10:00:00,"How to audit any business for automation opportunities.

I charge $2K for this audit.
Here's the entire framework, free.

4 steps. 90 minutes.
You'll walk out with a list of 10+ automations every business has been paying humans to do manually.

Use it on your own business first.

#n8n #Automation #NoCode #AIAgents #WorkflowAutomation #AIAutomation #BusinessAutomation #SmallBiz #TechStack #AI",,https://raw.githubusercontent.com/waseemnasir2k26/skynetlabs-carousels-batch5/main/slides/09_how-to-audit-any-business-for-automation/slide_01.png,,,TRUE,FALSE,"automation,n8n,aiagents,skynetjoe",Automation,Challenge: run this audit on YOUR business this weekend. Reply with the #1 opportunity you find 👇,post,post,How to Audit Any Business for Automation — The 5-step framework we use for every client,TRUE,,,,,,,,,,,How to Audit Any Business for Automation,public,short,everyone,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,How to Audit Any Business for Automation,FALSE,How to Audit Any Business for Automation,https://www.skynetjoe.com
